X,Y,OBJECTID,ID,TRAEGER,LEISTUNGEN,BEZEICHNUNG,KURZBEZEICHNUNG,STRASSE,PLZ,ORT,TELEFON,EMAIL,FAX
12.8850360603135,50.8633389905466,1,1,Regenbogenbus e. V. ,Schulsozialarbeit,,,Wittgensdorfer Straße 121a,09114,Chemnitz,0176 56707782,,
12.8864253328506,50.8622459346951,2,2,Regenbogenbus e. V. ,Schulsozialarbeit,,,Wittgensdorfer Straße 121,09114,Chemnitz,"0371 2786887-10
0176 56721413",,
12.8980267295606,50.8620186720013,3,3,Arbeiterwohlfahrt Soziale Dienste Chemnitz und Umgebung gGmbH,Schulsozialarbeit,,,Sandstraße 102,09114,Chemnitz,,,
12.7857570982484,50.8134154980481,4,4,Arbeiterwohlfahrt Soziale Dienste Chemnitz und Umgebung gGmbH,Schulsozialarbeit,,,August-Bebel-Straße (Grüna) 7,09224,Chemnitz,0172 1461720,,
12.8733752933211,50.8229833201809,5,5,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Guerickestraße 38,09116,Chemnitz,"0371 815760
0176 1381 0815",,
12.8251258225996,50.8115128110385,6,6,Selbsthilfe Wohnprojekt Further Straße e. V.,Schulsozialarbeit,,,Lennéstraße 1,09117,Chemnitz,"0371 8157527
0174 3522231",,
12.8823574393427,50.8399911254795,7,7,Selbsthilfe Wohnprojekt Further Straße e. V.,Schulsozialarbeit,,,Albert-Schweitzer-Straße 61,09116,Chemnitz,0157 80549073,,
12.9013606031607,50.8450880325514,8,8,Regenbogenbus e. V. ,Schulsozialarbeit,,,Arthur-Bretschneider-Straße 17,09113,Chemnitz,"0371 374360
0157 33972736",,
12.8840422701945,50.8325546104525,9,9,Selbsthilfe Wohnprojekt Further Straße e. V.,Schulsozialarbeit,,,Ernst-Heilmann-Straße 11,09116,Chemnitz,"0371  3691415
01577 6372129
0176 73511217",,
12.876749147522,50.8425583937128,10,10,Regenbogenbus e. V. ,Schulsozialarbeit,,,Flemmingstraße 8g,09116,Chemnitz,0371  80818146,,
12.9026935754136,50.8413040029236,11,11,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Fritz-Matschke-Straße 21,09113,Chemnitz,"0371 3741914
0176 168 550 43",,
12.9027950932735,50.8416189519938,12,12,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Fritz-Matschke-Straße 23,09113,Chemnitz,"0371 3741917
0176 138 108 09",,
12.9080500786032,50.8292552027294,13,13,inpeos e. V.,Schulsozialarbeit,,,Heinrich-Beck-Straße 2,09112,Chemnitz,"0371 302956
0151 654 780 76 ",,
12.9024222464489,50.8354310560147,14,14,inpeos e. V.,Schulsozialarbeit,,,Henriettenstraße 35,09112,Chemnitz,0176 14622579,,
12.911862861039,50.8352668312807,15,15,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Hohe Straße 35,09112,Chemnitz,01761 6855039,,
12.9296492190006,50.8498707697401,16,16,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Josephinenplatz 9,09113,Chemnitz,"0371 4497-950
0176 16855037
",,
12.9068504559025,50.835447608084,17,17,Selbsthilfe Wohnprojekt Further Straße e. V.,Schulsozialarbeit,,,Reichsstraße 45,09112,Chemnitz,"0371 3816523
0157 76372125",,
12.8994600283918,50.8147593898924,18,18,Regenbogenbus e. V. ,Schulsozialarbeit,,,Richard-Wagner-Straße 76,09120,Chemnitz,0371 2720918,,
12.8928433256839,50.8030042437469,19,19,solaris Förderzentrum für Jugend & Umwelt gGmbH Sachsen,Schulsozialarbeit,,,Scheffelstraße 18,09120,Chemnitz,"0371 2815717
0176 16855036",,
12.8856222242871,50.8057303827128,20,20,Arbeiterwohlfahrt Soziale Dienste Chemnitz und Umgebung gGmbH,Schulsozialarbeit,,,Straße Usti nad Labem 277,09119,Chemnitz,0163 4158153 ,,
12.8850807101631,50.805262135884,21,21,Arbeiterwohlfahrt Soziale Dienste Chemnitz und Umgebung gGmbH,Schulsozialarbeit,,,Straße Usti nad Labem 279,09119,Chemnitz,"
0162 214 3737",,
12.8889423266504,50.7930311466346,22,22,KINDERLAND-Sachsen e. V.,Schulsozialarbeit,,,Albert-Köhler-Straße 48,09122,Chemnitz,"0371 2660125
0177343 2570
",,
12.902724392555,50.7914847502766,23,23,KINDERLAND-Sachsen e. V.,Schulsozialarbeit,,,Arno-Schreiter-Straße 1,09123,Chemnitz,"0371 262121 915
0177 3432570",,
12.9019557001839,50.7840835945015,24,24,inpeos e. V.,Schulsozialarbeit,,,Alfred-Neubert-Straße 25,09123,Chemnitz,0371 2660217,,
12.902724392555,50.7914847502766,25,25,"Kinder-, Jugend- und Familienhilfe e. V. Chemnitz",Schulsozialarbeit,,,Arno-Schreiter-Straße 1,09123,Chemnitz,"0371 3816622
0160-93941924",,
12.8872762658422,50.7922749102438,26,26,Arbeiterwohlfahrt Soziale Dienste Chemnitz und Umgebung gGmbH,Schulsozialarbeit,,,Max-Türpe-Straße 58,09122,Chemnitz,01634158171,,
12.9162479011136,50.8353107212991,27,27,Regenbogenbus e. V. ,Schulsozialarbeit,,,An der Markthalle 10,09111,Chemnitz,0371 67521130,,
12.9218298722116,50.8280539252831,28,28,"Kinder-, Jugend- und Familienhilfe e. V. Chemnitz",Schulsozialarbeit,,,Brauhausstraße 16,09111,Chemnitz,"0371 36913120
0160 93941956",,037149502728 0371495
12.9218298722116,50.8280539252831,29,29,"Kinder-, Jugend- und Familienhilfe e. V. Chemnitz",Schulsozialarbeit,,,Brauhausstraße 16,09111,Chemnitz,"0371 36913117
0160 93942068",,037149502128
